fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,curl,354,10,0,10,10
aflplusplus,curl,2807,10,0,10,10
aflplusplus,curl,355,9,1,10,10
aflplusplus,curl,2809,10,0,10,10
aflplusplus,curl,356,8,2,10,10
aflplusplus,curl,357,6,4,10,10
aflplusplus,curl,4118,10,0,10,10
aflplusplus,curl,4119,10,0,10,10
aflplusplus,curl,4120,10,0,10,10
aflplusplus,curl,4121,10,0,10,10
aflplusplus,curl,4122,10,0,10,10
aflplusplus,curl,1382,10,0,10,10
aflplusplus,curl,1383,6,4,10,10
aflplusplus,curl,4865,7,3,10,10
aflplusplus,curl,4123,10,0,10,10
aflplusplus,curl,358,9,1,10,10
aflplusplus,curl,359,10,0,10,10
aflplusplus,curl,3078,4,6,10,10
aflplusplus,curl,3077,10,0,10,10
aflplusplus,curl,745,10,0,10,10
aflplusplus,curl,360,4,6,10,10
aflplusplus,curl,3080,10,0,10,10
aflplusplus,curl,361,4,6,10,10
aflplusplus,curl,3082,10,0,10,10
aflplusplus,curl,362,9,1,10,10
aflplusplus,curl,364,9,0,9,10
aflplusplus,curl,363,0,9,9,10
aflplusplus,curl,366,6,3,9,10
aflplusplus,curl,365,8,1,9,10
aflplusplus,curl,367,7,3,10,10
aflplusplus,curl,369,9,1,10,10
aflplusplus,curl,370,10,0,10,10
aflplusplus,curl,372,10,0,10,10
aflplusplus,curl,371,0,10,10,10
aflplusplus,curl,374,10,0,10,10
aflplusplus,curl,373,4,6,10,10
aflplusplus,curl,3373,10,0,10,10
aflplusplus,curl,376,10,0,10,10
aflplusplus,curl,375,9,1,10,10
aflplusplus,curl,378,8,2,10,10
aflplusplus,curl,377,10,0,10,10
aflplusplus,curl,380,8,2,10,10
aflplusplus,curl,379,10,0,10,10
aflplusplus,curl,381,4,6,10,10
aflplusplus,curl,768,9,1,10,10
aflplusplus,curl,382,10,0,10,10
aflplusplus,curl,384,10,0,10,10
aflplusplus,curl,383,4,6,10,10
aflplusplus,curl,770,10,0,10,10
aflplusplus,curl,771,8,2,10,10
aflplusplus,curl,385,10,0,10,10
aflplusplus,curl,773,10,0,10,10
aflplusplus,curl,386,10,0,10,10
aflplusplus,curl,1405,10,0,10,10
aflplusplus,curl,1404,0,10,10,10
aflplusplus,curl,387,9,1,10,10
aflplusplus,curl,388,9,1,10,10
aflplusplus,curl,3392,4,6,10,10
aflplusplus,curl,389,9,1,10,10
aflplusplus,curl,390,8,2,10,10
aflplusplus,curl,391,8,2,10,10
aflplusplus,curl,392,9,1,10,10
aflplusplus,curl,393,8,2,10,10
aflplusplus,curl,394,10,0,10,10
aflplusplus,curl,4160,2,8,10,10
aflplusplus,curl,395,8,2,10,10
