target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
lcms,grimoire,4,24,3600,86400,7526,113862600.0,0.18272,1409
lcms,grimoire,5,24,3600,86400,7526,125098200.0,0.20075,1522
lcms,grimoire,6,24,3600,86400,7526,124273800.0,0.199427,1534
lcms,grimoire,7,24,3600,86400,7526,115083000.0,0.184679,1403
lcms,grimoire,8,24,3600,86400,7526,141975000.0,0.227833,1926
lcms,grimoire,9,24,3600,86400,7526,140455800.0,0.225395,1860
lcms,grimoire,10,23,3600,82800,7526,111706200.0,0.187408,1431
libpng,naive,1,24,3600,86400,5990,113394600.0,0.228631,1393
libpng,naive,2,24,3600,86400,5990,119822400.0,0.241591,1459
libpng,naive,3,24,3600,86400,5990,122135400.0,0.246255,1491
libpng,naive,4,24,3600,86400,5990,117729000.0,0.23737,1437
libpng,naive,5,24,3600,86400,5990,119698200.0,0.241341,1451
libpng,naive,6,24,3600,86400,5990,117711000.0,0.237334,1452
libpng,naive,7,24,3600,86400,5990,119998800.0,0.241947,1463
libpng,naive,8,24,3600,86400,5990,120335400.0,0.242625,1470
libpng,naive,9,24,3600,86400,5990,120864600.0,0.243692,1471
libpng,naive,10,24,3600,86400,5990,122175000.0,0.246334,1484
libpng,cmplog,1,24,3600,86400,5990,145420200.0,0.293202,1787
libpng,cmplog,2,24,3600,86400,5990,145258200.0,0.292876,1805
libpng,cmplog,3,23,3600,82800,5990,139714200.0,0.294502,1789
libpng,cmplog,4,24,3600,86400,5990,140923800.0,0.284137,1747
libpng,cmplog,5,24,3600,86400,5990,143159400.0,0.288644,1755
libpng,cmplog,6,24,3600,86400,5990,141183000.0,0.284659,1773
libpng,cmplog,7,24,3600,86400,5990,141678000.0,0.285657,1745
libpng,cmplog,8,24,3600,86400,5990,142903800.0,0.288129,1775
libpng,cmplog,9,24,3600,86400,5990,139347000.0,0.280957,1731
libpng,cmplog,10,24,3600,86400,5990,141051600.0,0.284394,1738
libpng,value_profile,1,24,3600,86400,5990,140128200.0,0.282532,1723
libpng,value_profile,2,24,3600,86400,5990,132120000.0,0.266386,1699
libpng,value_profile,3,24,3600,86400,5990,139255200.0,0.280772,1750
libpng,value_profile,4,24,3600,86400,5990,132386400.0,0.266923,1725
libpng,value_profile,5,24,3600,86400,5990,138038400.0,0.278319,1714
libpng,value_profile,6,24,3600,86400,5990,142524000.0,0.287363,1801
libpng,value_profile,7,24,3600,86400,5990,138414600.0,0.279077,1709
libpng,value_profile,8,24,3600,86400,5990,137964600.0,0.27817,1709
libpng,value_profile,9,24,3600,86400,5990,137444400.0,0.277121,1704
libpng,value_profile,10,24,3600,86400,5990,124138800.0,0.250294,1584
libpng,value_profile_cmplog,1,24,3600,86400,5990,143452800.0,0.289236,1793
libpng,value_profile_cmplog,2,24,3600,86400,5990,147141000.0,0.296672,1825
libpng,value_profile_cmplog,3,24,3600,86400,5990,149112000.0,0.300646,1839
libpng,value_profile_cmplog,4,24,3600,86400,5990,159564600.0,0.321721,1984
libpng,value_profile_cmplog,5,24,3600,86400,5990,145956600.0,0.294284,1827
libpng,value_profile_cmplog,6,24,3600,86400,5990,154787400.0,0.312089,1893
libpng,value_profile_cmplog,7,24,3600,86400,5990,149164200.0,0.300751,1833
libpng,value_profile_cmplog,8,24,3600,86400,5990,149142600.0,0.300708,1833
libpng,value_profile_cmplog,9,24,3600,86400,5990,146458800.0,0.295297,1820
libpng,value_profile_cmplog,10,24,3600,86400,5990,148512600.0,0.299437,1829
libpng,naive_ctx,1,24,3600,86400,5990,130584600.0,0.26329,1614
libpng,naive_ctx,2,24,3600,86400,5990,125062200.0,0.252156,1526
libpng,naive_ctx,3,24,3600,86400,5990,127704600.0,0.257483,1579
libpng,naive_ctx,4,24,3600,86400,5990,121593600.0,0.245162,1497
libpng,naive_ctx,5,24,3600,86400,5990,123787800.0,0.249586,1523
libpng,naive_ctx,6,24,3600,86400,5990,125339400.0,0.252715,1562
libpng,naive_ctx,7,24,3600,86400,5990,126651600.0,0.25536,1540
libpng,naive_ctx,8,24,3600,86400,5990,124164000.0,0.250345,1525
libpng,naive_ctx,9,24,3600,86400,5990,126500400.0,0.255056,1542
libpng,naive_ctx,10,24,3600,86400,5990,126606600.0,0.25527,1577
