target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
openthread,naive_ctx,7,24,3600,86400,26512,237616200.0,0.108244,2907
openthread,naive_ctx,8,24,3600,86400,26512,235729800.0,0.107385,2887
openthread,naive_ctx,9,24,3600,86400,26512,237960000.0,0.1084,2929
openthread,naive_ctx,10,24,3600,86400,26512,237339000.0,0.108118,2909
openthread,naive_ngram4,1,24,3600,86400,26512,240165000.0,0.109405,2914
openthread,naive_ngram4,2,24,3600,86400,26512,237729600.0,0.108296,2906
openthread,naive_ngram4,3,24,3600,86400,26512,248193000.0,0.113062,3058
openthread,naive_ngram4,4,24,3600,86400,26512,238721400.0,0.108747,2904
openthread,naive_ngram4,5,24,3600,86400,26512,239211000.0,0.10897,2950
openthread,naive_ngram4,6,24,3600,86400,26512,239967000.0,0.109315,2950
openthread,naive_ngram4,7,24,3600,86400,26512,237949200.0,0.108396,2936
openthread,naive_ngram4,8,24,3600,86400,26512,243678600.0,0.111006,3024
openthread,naive_ngram4,9,24,3600,86400,26512,238824000.0,0.108794,2912
openthread,naive_ngram4,10,24,3600,86400,26512,238813200.0,0.108789,2907
openthread,mopt,1,24,3600,86400,26512,238995000.0,0.108872,2913
openthread,mopt,2,24,3600,86400,26512,239038200.0,0.108892,2920
openthread,mopt,3,24,3600,86400,26512,239824800.0,0.10925,2920
openthread,mopt,4,24,3600,86400,26512,244089000.0,0.111192,3000
openthread,mopt,5,24,3600,86400,26512,239571000.0,0.109134,2916
openthread,mopt,6,24,3600,86400,26512,245048400.0,0.11163,3042
openthread,mopt,7,24,3600,86400,26512,241255800.0,0.109902,2952
openthread,mopt,8,24,3600,86400,26512,240355800.0,0.109492,3029
openthread,mopt,9,24,3600,86400,26512,239466600.0,0.109087,2919
openthread,mopt,10,24,3600,86400,26512,237963600.0,0.108402,2914
openthread,minimizer,1,24,3600,86400,26512,239023800.0,0.108885,2908
openthread,minimizer,2,24,3600,86400,26512,242051400.0,0.110264,3046
openthread,minimizer,3,24,3600,86400,26512,239207400.0,0.108969,2931
openthread,minimizer,4,24,3600,86400,26512,240679800.0,0.109639,2918
openthread,minimizer,5,24,3600,86400,26512,244738800.0,0.111488,3017
openthread,minimizer,6,24,3600,86400,26512,243732600.0,0.11103,3055
openthread,minimizer,7,24,3600,86400,26512,237673800.0,0.10827,2896
openthread,minimizer,8,24,3600,86400,26512,240147000.0,0.109397,2965
openthread,minimizer,9,24,3600,86400,26512,247554000.0,0.112771,3040
openthread,minimizer,10,24,3600,86400,26512,244382400.0,0.111326,3078
openthread,fast,1,24,3600,86400,26512,248796000.0,0.113337,3067
openthread,fast,2,24,3600,86400,26512,247557600.0,0.112773,3029
openthread,fast,3,24,3600,86400,26512,246875400.0,0.112462,3039
openthread,fast,4,24,3600,86400,26512,244731600.0,0.111485,3064
openthread,fast,5,24,3600,86400,26512,241696800.0,0.110103,3009
openthread,fast,6,24,3600,86400,26512,238759200.0,0.108765,2907
openthread,fast,7,24,3600,86400,26512,237015000.0,0.10797,2877
openthread,fast,8,24,3600,86400,26512,239085000.0,0.108913,2896
openthread,fast,9,24,3600,86400,26512,246324600.0,0.112211,3080
openthread,fast,10,24,3600,86400,26512,248286600.0,0.113105,3030
openthread,grimoire,1,24,3600,86400,26512,252669600.0,0.115101,3070
openthread,grimoire,2,24,3600,86400,26512,250153200.0,0.113955,3043
openthread,grimoire,3,24,3600,86400,26512,249703200.0,0.11375,3054
openthread,grimoire,4,24,3600,86400,26512,251350200.0,0.1145,3061
openthread,grimoire,5,24,3600,86400,26512,249436800.0,0.113629,3039
openthread,grimoire,6,24,3600,86400,26512,250912800.0,0.114301,3057
openthread,grimoire,7,24,3600,86400,26512,253321200.0,0.115398,3075
openthread,grimoire,8,24,3600,86400,26512,248562000.0,0.11323,3053
openthread,grimoire,9,24,3600,86400,26512,250405200.0,0.11407,3034
openthread,grimoire,10,24,3600,86400,26512,245152800.0,0.111677,3010
sqlite3,naive,1,24,3600,86400,28832,419500800.0,0.175723,5371
sqlite3,naive,2,24,3600,86400,28832,396927000.0,0.166267,5089
sqlite3,naive,3,24,3600,86400,28832,360147600.0,0.15086,5306
sqlite3,naive,4,24,3600,86400,28832,368251200.0,0.154255,4773
sqlite3,naive,5,24,3600,86400,28832,260046000.0,0.108929,3371
sqlite3,naive,6,24,3600,86400,28832,394416000.0,0.165215,4871
sqlite3,naive,7,24,3600,86400,28832,367374600.0,0.153888,5192
sqlite3,naive,8,24,3600,86400,28832,261579600.0,0.109572,4832
sqlite3,naive,9,24,3600,86400,28832,322844400.0,0.135235,5206
sqlite3,naive,10,24,3600,86400,28832,387783000.0,0.162437,4766
sqlite3,cmplog,1,24,3600,86400,28832,418438800.0,0.175278,5427
sqlite3,cmplog,2,24,3600,86400,28832,430642800.0,0.18039,5366
sqlite3,cmplog,3,24,3600,86400,28832,380503800.0,0.159387,5342
sqlite3,cmplog,4,24,3600,86400,28832,389012400.0,0.162951,5426
sqlite3,cmplog,5,24,3600,86400,28832,402233400.0,0.16849,5360
sqlite3,cmplog,6,24,3600,86400,28832,369518400.0,0.154786,5417
sqlite3,cmplog,7,24,3600,86400,28832,340840800.0,0.142773,5305
sqlite3,cmplog,8,24,3600,86400,28832,400500000.0,0.167763,5481
